regime,method,noise,h_profile,mean_absolute_error,max_absolute_error,count
var,Linear residual DML,N3,Hbrn,0.7615878052649636,3.0810607025391334,24
var,Linear residual DML,N3,Hdec,0.8619481950447923,3.1687367485527966,24
var,Linear residual DML,N3,Hprbs,0.8904980639237646,2.481201101306217,24
var,Linear residual DML,N3,Hsin,0.6665011687595407,2.598478801159307,24
var,Linear residual DML,N3,Hstep,0.7259161529355979,2.909504884280942,24
var,Linear residual DML + graph control,N1,Hbrn,1.3416989897910376,9.080213393746288,24
var,Linear residual DML + graph control,N1,Hdec,2.0581174840506127,10.215586212271173,24
var,Linear residual DML + graph control,N1,Hprbs,1.8916590017579689,9.529057276164522,24
var,Linear residual DML + graph control,N1,Hsin,1.9213100591759316,11.555336611660369,24
var,Linear residual DML + graph control,N1,Hstep,2.247637614836447,13.875356480598107,24
var,Linear residual DML + graph control,N2,Hbrn,1.5917702615380271,9.08395212519486,24
var,Linear residual DML + graph control,N2,Hdec,2.0636101816278356,9.97232142444448,24
var,Linear residual DML + graph control,N2,Hprbs,1.8666263734545698,9.542040822081876,24
var,Linear residual DML + graph control,N2,Hsin,2.105008636983665,10.857839026590408,24
var,Linear residual DML + graph control,N2,Hstep,2.2563531306775073,13.407928100062215,24
var,Linear residual DML + graph control,N3,Hbrn,2.2689471352577164,6.965463291239564,24
var,Linear residual DML + graph control,N3,Hdec,1.0678226451080806,5.378375371263823,24
var,Linear residual DML + graph control,N3,Hprbs,1.1161922895707148,3.533986616838464,24
var,Linear residual DML + graph control,N3,Hsin,1.5799210645314332,6.051617875471468,24
var,Linear residual DML + graph control,N3,Hstep,1.2965344871512876,11.828958896871551,24
var,Linear residual DML + graph zero,N1,Hbrn,0.2637444241716586,2.0700855883661102,24
var,Linear residual DML + graph zero,N1,Hdec,0.5993784321099546,2.135096961160321,24
var,Linear residual DML + graph zero,N1,Hprbs,0.5169049948704972,2.135913589458996,24
var,Linear residual DML + graph zero,N1,Hsin,0.260262169565265,2.135652730159342,24
var,Linear residual DML + graph zero,N1,Hstep,0.5798840740494854,2.639202626018447,24
var,Linear residual DML + graph zero,N2,Hbrn,0.2647197373294445,2.0793729208537064,24
var,Linear residual DML + graph zero,N2,Hdec,0.5986938556446945,2.135682278291937,24
var,Linear residual DML + graph zero,N2,Hprbs,0.5165387388366188,2.141347153228967,24
var,Linear residual DML + graph zero,N2,Hsin,0.26216699230924007,2.1402875402947146,24
var,Linear residual DML + graph zero,N2,Hstep,0.579408873064636,2.638627092773894,24
var,Linear residual DML + graph zero,N3,Hbrn,0.7615878052649636,3.0810607025391334,24
var,Linear residual DML + graph zero,N3,Hdec,0.5476514318036959,2.5989879765022748,24
var,Linear residual DML + graph zero,N3,Hprbs,0.7850237365660817,2.481201101306217,24
var,Linear residual DML + graph zero,N3,Hsin,0.5831993273823316,2.598478801159307,24
var,Linear residual DML + graph zero,N3,Hstep,0.604560345119714,2.909504884280942,24
var,Linear state-space estimator,N1,Hbrn,0.007079232000062463,0.0306194340660602,24
var,Linear state-space estimator,N1,Hdec,0.38764158474170424,1.667569273444101,24
var,Linear state-space estimator,N1,Hprbs,0.27947444503673585,1.6650313502040102,24
var,Linear state-space estimator,N1,Hsin,0.04273358331177479,0.1758290708294905,24
var,Linear state-space estimator,N1,Hstep,0.26244001183752025,1.6474289365223154,24
var,Linear state-space estimator,N2,Hbrn,0.00694715978752133,0.0314137058750819,24
var,Linear state-space estimator,N2,Hdec,0.3867720540366124,1.6692445077390543,24
var,Linear state-space estimator,N2,Hprbs,0.27831933431928313,1.6540502261379166,24
var,Linear state-space estimator,N2,Hsin,0.04249910760133773,0.1759494970266442,24
