regime,method,noise,h_profile,t1_t2_mean_absolute_error,t3_t4_mean_absolute_error,t1_t2_over_t3_t4_ratio
var,Expanded DML + graph control,N2,Hdec,1.250186263355178,0.2528038692514835,4.945281363994952
var,Expanded DML + graph control,N2,Hprbs,2.3679748715831246,0.30620080879528033,7.733405019077871
var,Expanded DML + graph control,N2,Hsin,4.0675060981955475,0.21074521626548343,19.300585656338516
var,Expanded DML + graph control,N2,Hstep,1.5617333180684172,0.44570733657834816,3.503943484658996
var,Expanded DML + graph control,N3,Hbrn,1.7268840474737852,0.6596088251854161,2.6180426664066507
var,Expanded DML + graph control,N3,Hdec,0.4957501658030967,0.5754328679314527,0.8615256330164165
var,Expanded DML + graph control,N3,Hprbs,1.01021282661444,0.4601288495192885,2.1954998641572723
var,Expanded DML + graph control,N3,Hsin,2.679116429529852,0.15753466373092806,17.006520127569065
var,Expanded DML + graph control,N3,Hstep,0.516871922192817,0.20934403919221373,2.46900711473442
var,RBF GP,N1,Hbrn,0.029877427823667056,0.011394766894950618,2.622030630298079
var,RBF GP,N1,Hdec,1.2894556245838658,0.006264415546192699,205.83813686618433
var,RBF GP,N1,Hprbs,2.68852855089344,0.014126330287198226,190.32038018606139
var,RBF GP,N1,Hsin,0.024079571633155314,0.008753529056916214,2.7508415721919497
var,RBF GP,N1,Hstep,6.247364207262526,0.005940747081700315,1051.6125533279653
var,RBF GP,N2,Hbrn,0.03037339453037937,0.011983060623747448,2.53469422245823
var,RBF GP,N2,Hdec,1.279711719677154,0.0074795518650549574,171.09470497237484
var,RBF GP,N2,Hprbs,2.7122038782538977,0.014308940669674192,189.54609854536866
var,RBF GP,N2,Hsin,0.024532370501236356,0.007551686740456951,3.2485948297892326
var,RBF GP,N2,Hstep,2.2112045898391113,0.007328249635766286,301.7370722535292
var,RBF GP,N3,Hbrn,1.6591895265435344,0.7449328539656503,2.2273007798096676
var,RBF GP,N3,Hdec,2.2808987603474,15.243133153703008,0.1496345100018563
var,RBF GP,N3,Hprbs,9.275055187751255,18.915334562789116,0.4903458174087735
var,RBF GP,N3,Hsin,1.7245533458824247,15.939229050191916,0.10819553069046714
var,RBF GP,N3,Hstep,1.769328914487361,20.02001363779587,0.08837800745285394
var,Matern GP,N1,Hbrn,0.05796120808746064,0.007618595527897349,7.607859988789472
var,Matern GP,N1,Hdec,1.2849047719604818,0.00900094369006267,142.75222867787272
var,Matern GP,N1,Hprbs,0.3891985755845051,0.010196203959345073,38.170928821779306
var,Matern GP,N1,Hsin,0.007437647055193218,0.00931401985259923,0.7985431825247421
var,Matern GP,N1,Hstep,3.2626423302945526,0.008769208389710105,372.05665383924236
var,Matern GP,N2,Hbrn,0.055010653689091416,0.00805986251087035,6.8252595642789755
var,Matern GP,N2,Hdec,1.282562524113634,0.006981157069636345,183.71775786165543
var,Matern GP,N2,Hprbs,0.39025672028839486,0.011092780948763358,35.18114367271458
var,Matern GP,N2,Hsin,0.00705490650794203,0.006959531698635178,1.013704199281908
var,Matern GP,N2,Hstep,3.3162598776660817,0.006679999686301705,496.4461127844881
var,Matern GP,N3,Hbrn,1.30936227919982,0.6193884538839236,2.1139597791811613
var,Matern GP,N3,Hdec,0.7730676442124619,0.4151720066351299,1.862041832921229
var,Matern GP,N3,Hprbs,1.6870980505813524,0.34309304519223094,4.9173192934764725
var,Matern GP,N3,Hsin,1.5738009173889869,0.4152799789612859,3.7897346299367425
var,Matern GP,N3,Hstep,0.4253730083516601,0.4134834230308523,1.028754684368376
zero,Average LSE,N1,Hbrn,0.16083612862900656,0.08530929326989523,1.8853295164474653
zero,Average LSE,N1,Hdec,0.10438115075499443,0.07040772791894723,1.4825240614944586
zero,Average LSE,N1,Hprbs,0.09943125513328951,0.09685470255276489,1.0266022455556143
zero,Average LSE,N1,Hsin,0.12881248390850059,0.06699770543223157,1.9226402318926412
zero,Average LSE,N1,Hstep,0.08999214500914296,0.07050636700978719,1.2763690546791455
zero,Average LSE,N2,Hbrn,0.1600497894353634,0.08694161079732184,1.8408882463481298
zero,Average LSE,N2,Hdec,0.09840316161918287,0.0731677250361102,1.344898472251506
zero,Average LSE,N2,Hprbs,0.09646230246384131,0.09856967181207237,0.9786205096406443
zero,Average LSE,N2,Hsin,0.12698986593033498,0.06829827944461848,1.8593420941637069
zero,Average LSE,N2,Hstep,0.09097541505434353,0.07205847554714176,1.2625220609174006
zero,Average LSE,N3,Hbrn,0.1785874406774933,0.05831879471984369,3.062262200983497
