regime,method,output,count,mean_absolute_error,median_absolute_error,max_absolute_error
var,Linear residual DML + graph zero,P,60,1.2760498405419083,0.9980224929411117,3.0810607025391334
var,Linear residual DML + graph zero,T1,60,0.6042170221250045,0.1714367025335097,2.639202626018447
var,Linear residual DML + graph zero,T2,60,0.5490630247852596,0.3743276715756716,2.909504884280942
var,Linear residual DML + graph zero,T3,60,0.0860772067103094,0.00812378533753855,1.1195788808889828
var,Linear residual DML + graph zero,T4,60,0.07203001315128375,0.009206869229033465,0.514756920982538
var,Linear state-space estimator,C,60,0.3254462932381107,0.2038400855853939,1.461463979923731
var,Linear state-space estimator,P,60,0.23147034380666384,0.010694144509683312,2.5243763381722637
var,Linear state-space estimator,T1,60,0.6371126102807948,0.3797911834831368,3.293784320056544
var,Linear state-space estimator,T2,60,0.668833697884565,0.3811726219566872,3.277253908679474
var,Linear state-space estimator,T3,60,0.20049174784156612,0.00374699358117514,1.2470559142672537
var,Linear state-space estimator,T4,60,0.08997470153632985,0.004842088856396899,0.7175870734423974
var,Matern GP,C,60,0.5303298777235711,0.12365960748731619,4.2905499150338695
var,Matern GP,P,60,0.23417218594271513,0.05210274795870351,3.06812355009784
var,Matern GP,T1,60,1.0142601062157106,0.13475029352562073,12.349432344941402
var,Matern GP,T2,60,1.0953387091151718,0.181746978537064,12.75295995660128
var,Matern GP,T3,60,0.1646270870854591,0.010030808499170017,1.9964099409401657
var,Matern GP,T4,60,0.14085147438617343,0.014642605713392598,2.264965448424716
var,Neural ODE,C,60,1.1841460477231889,0.3498444973293895,8.288429261888453
var,Neural ODE,P,60,1.1281939311181934,0.16310698588132055,19.306400943066805
var,Neural ODE,T1,60,1.5610034902184744,0.7282630702360503,7.862990971145234
var,Neural ODE,T2,60,1.564175418993307,0.7017527833643995,17.265130286162
var,Neural ODE,T3,60,0.3304407948328759,0.08729367063329427,2.080899955633212
var,Neural ODE,T4,60,0.5037115152500864,0.10661494955353545,4.2376706763412315
var,RBF GP,C,60,0.7864551316149134,0.46665291221173444,3.389345092063018
var,RBF GP,P,60,0.9283094475347599,0.06515284328328619,7.948198470421616
var,RBF GP,T1,60,1.4155392064228356,0.839472574891184,8.457905441720923
var,RBF GP,T2,60,3.0173084029118855,0.7388031536637191,63.13162126072417
var,RBF GP,T3,60,0.3602395174935713,0.013865395576627589,2.302446854096704
var,RBF GP,T4,60,9.100797087419389,0.01045255585586145,154.81435717169293
zero,Average LSE,C,60,0.06726838254968118,0.06318718118510436,0.217551451266925
zero,Average LSE,P,60,0.2023584527816424,0.21600061555569816,0.4361262774108887
zero,Average LSE,T1,60,0.10328560078989653,0.0440872825488757,0.439519788743322
zero,Average LSE,T2,60,0.12168131029232306,0.1074882646917187,0.30305885603476845
zero,Average LSE,T3,60,0.07190369917874061,0.034766072399740194,0.2894391339610767
zero,Average LSE,T4,60,0.07752338014071677,0.0384627436201599,0.25790685712746075
zero,Average LSE + graph control,C,60,0.14433959556262763,0.09702699798207282,0.47247276085679824
zero,Average LSE + graph control,P,60,0.3898693140463097,0.35770624875648327,1.2516972418575296
zero,Average LSE + graph control,T1,60,0.20543962262669563,0.13666417938857922,0.8800063071796327
zero,Average LSE + graph control,T2,60,0.22141790140939716,0.1153295636833475,0.7742181007615064
zero,Average LSE + graph control,T3,60,0.11800429058321042,0.0975295568481271,0.46651829567088576
zero,Average LSE + graph control,T4,60,0.06494425331548749,0.047566370668862365,0.22118680513741928
